1.980e+02,4.728e-241
2.110e+02,,7.461e-18
2.110e+02,,6.478e-18
2.110e+02,,5.613e-18
2.111e+02,,4.876e-18
2.111e+02,,4.269e-18
2.111e+02,,3.785e-18
2.111e+02,,3.412e-18
2.111e+02,,3.138e-18
2.112e+02,,2.951e-18
2.112e+02,,2.842e-18
2.112e+02,,2.804e-18
2.112e+02,,2.835e-18
2.112e+02,,2.937e-18
2.113e+02,,3.116e-18
2.113e+02,,3.382e-18
2.113e+02,,3.747e-18
2.113e+02,,4.227e-18
2.113e+02,,4.839e-18
2.114e+02,,5.597e-18
2.114e+02,,6.510e-18
2.114e+02,,7.578e-18
2.114e+02,,8.787e-18
2.114e+02,,1.011e-17
2.115e+02,,1.149e-17
2.115e+02,,1.287e-17
2.115e+02,,1.416e-17
2.115e+02,,1.529e-17
2.115e+02,,1.616e-17
2.116e+02,,1.672e-17
2.116e+02,,1.690e-17
2.116e+02,,1.671e-17
2.116e+02,,1.615e-17
2.116e+02,,1.527e-17
2.117e+02,,1.414e-17
2.117e+02,,1.284e-17
2.117e+02,,1.145e-17
2.117e+02,,1.006e-17
2.117e+02,,8.729e-18
2.118e+02,,7.508e-18
2.118e+02,,6.427e-18
2.118e+02,,5.499e-18
2.118e+02,,4.723e-18
2.118e+02,,4.089e-18
2.119e+02,,3.581e-18
2.119e+02,,3.183e-18
2.119e+02,,2.877e-18
2.119e+02,,2.645e-18
2.119e+02,,2.477e-18
2.120e+02,,2.360e-18
2.120e+02,,2.287e-18
2.120e+02,,2.253e-18
2.120e+02,,2.256e-18
2.120e+02,,2.296e-18
2.121e+02,,2.374e-18
2.121e+02,,2.494e-18
2.121e+02,,2.665e-18
2.121e+02,,2.897e-18
2.121e+02,,3.202e-18
2.122e+02,,3.598e-18
2.122e+02,,4.104e-18
2.122e+02,,4.744e-18
2.122e+02,,5.538e-18
2.122e+02,,6.507e-18
2.123e+02,,7.663e-18
2.123e+02,,9.006e-18
2.123e+02,,1.052e-17
2.123e+02,,1.217e-17
2.123e+02,,1.389e-17
2.124e+02,,1.561e-17
2.124e+02,,1.722e-17
2.124e+02,,1.862e-17
2.124e+02,,1.971e-17
2.124e+02,,2.040e-17
2.125e+02,,2.063e-17
